Ed Sheeran,1
Bruno Mars,2
Drake,3
Kendrick Lamar,4
The Weeknd,5
The Chainsmokers,6
Justin Bieber,7
Future,8
Shawn Mendes,9
BTS,10
Coldplay,11
Lil Uzi Vert,12
Migos,13
Imagine Dragons,14
Ariana Grande,15
Guns N' Roses,16
Post Malone,17
U2,18
Rihanna,19
DJ Khaled,20
Khalid,21
J. Cole,22
Metallica,23
Halsey,24
Taylor Swift,25
Lady Gaga,26
Alessia Cara,27
Sam Hunt,28
Niall Horan,29
Rae Sremmurd,30
twenty one pilots,31
Big Sean,32
Kodak Black,33
Travis Scott,34
Selena Gomez,35
21 Savage,36
Gucci Mane,37
James Arthur,38
Demi Lovato,39
Childish Gambino,40
Chris Stapleton,41
Pentatonix,42
Logic,43
Chris Brown,44
Florida Georgia Line,45
Charlie Puth,46
Adele,47
Maroon 5,48
Katy Perry,49
Nicki Minaj,50
Cardi B,51
The Rolling Stones,52
Thomas Rhett,53
Luke Bryan,54
XXXTentacion,55
Harry Styles,56
SZA,57
Eminem,58
Beyonce,59
Depeche Mode,60
Luis Fonsi,61
Maluma,62
Keith Urban,63
Miley Cyrus,64
French Montana,65
Brett Young,66
Daddy Yankee,67
Camila Cabello,68
Liam Payne,69
Calvin Harris,70
Blake Shelton,71
Zayn,72
Celine Dion,73
Luke Combs,74
Julia Michaels,75
Sam Smith,76
Linkin Park,77
P!nk,78
Jon Pardi,79
Chance The Rapper,80
Bryson Tiller,81
Quavo,82
Red Hot Chili Peppers,83
A Boogie Wit da Hoodie,84
Eric Church,85
Jason Aldean,86
Tom Petty And The Heartbreakers,87
Roger Waters,88
Portugal. The Man,89
Playboi Carti,90
Billy Joel,91
John Mayer,92
2 Chainz,93
Zac Brown Band,94
Kesha,95
Justin Timberlake,96
Sia,97
JAY-Z,98
Kane Brown,99
Zedd,100
